episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
38,default,250,0,-1,0,1,-378.2719,-72.9650,-0.0007,0.0000,0.0499,0.0627,0.0000,0.0000,0.4373,0.0000,0.0000,0.7622,5.005421,-3.662684,1.3160,5.0400,5.0400,0.0000,0.0000
39,default,250,0,1,1,0,-313.4469,-112.2031,-0.0010,0.0200,0.0364,0.0436,0.0000,0.0000,0.2835,0.0000,0.0000,0.7558,6.953641,-3.870088,1.1600,5.5080,5.5080,0.0000,0.0000
40,default,250,0,-1,0,1,-465.3651,-273.5199,-0.0001,0.0000,-0.0320,0.0371,0.0000,0.0000,0.7817,0.0000,0.0000,0.2716,5.645233,-4.024386,1.3320,4.9920,4.9920,0.0000,0.0000
41,default,43,1,2,2,0,114.6568,-12.8844,0.0013,0.3488,-0.1831,0.1416,0.0000,0.0000,0.4944,0.0000,0.0000,0.7696,6.336814,-3.855369,1.9302,3.0698,3.0698,0.0000,0.0000
42,default,88,0,-1,0,2,-175.6731,34.2520,-0.0014,0.0000,-0.0675,0.1527,0.0000,0.0000,0.4613,0.0000,0.0000,0.7953,9.505167,-4.321639,1.9318,3.1364,3.1364,0.0000,0.0000
43,default,46,1,2,2,0,122.3091,-9.5133,0.0015,0.3261,-0.1400,0.1359,0.0000,0.0000,0.3067,0.0000,0.0000,0.7680,10.094690,-4.803064,1.9348,3.0652,3.0652,0.0000,0.0000
44,default,49,1,2,2,0,110.4723,-6.3676,0.0014,0.3061,-0.0942,0.1302,0.0000,0.0000,0.4376,0.0000,0.0000,0.8358,11.049582,-4.539055,1.9388,3.0612,3.0612,0.0000,0.0000
45,default,88,0,-1,0,2,-158.0040,30.8052,-0.0022,0.0000,-0.0790,0.1566,0.0000,0.0000,0.2953,0.0000,0.0000,0.7896,9.786793,-4.982733,1.8864,3.2727,3.2727,0.0000,0.0000
46,default,85,0,-1,0,2,-159.2394,17.1723,-0.0019,0.0000,-0.1363,0.1609,0.0000,0.0000,0.3191,0.0000,0.0000,0.7515,14.700734,-5.078037,1.9765,3.0000,3.0000,0.0000,0.0000
47,default,250,0,-1,0,1,-457.3805,-263.3725,-0.0002,0.0000,-0.0338,0.0431,0.0000,0.0000,0.6398,0.0000,0.0000,0.3418,12.716154,-4.884120,1.3600,4.9080,4.9080,0.0000,0.0000
48,default,250,0,1,1,0,-329.1424,-287.8952,-0.0001,0.0200,-0.0180,0.0245,0.0000,0.0000,0.4739,0.0000,0.0000,0.4243,10.719743,-3.837481,1.1760,5.4600,5.4600,0.0000,0.0000
