episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
74,default,250,0,0,0,0,-200.4451,-453.1605,-0.0002,0.0000,0.0164,0.0333,0.0000,0.0000,0.0102,0.0000,0.0000,0.5319,2.305561,-1.403401,2.0000,0.8280,5.1720,2.1720,0.2880
75,default,250,0,-1,0,1,-262.4644,-82.8187,-0.0005,0.0000,0.0278,0.0643,0.0000,0.0000,0.2205,0.0000,0.0000,0.7609,2.127873,-1.141481,1.3400,4.3600,5.5760,0.6080,0.9840
76,default,250,0,-1,0,1,-256.4213,-87.1215,-0.0006,0.0000,0.0304,0.0603,0.0000,0.0000,0.2168,0.0000,0.0000,0.7358,2.243992,-1.027089,1.3440,4.2520,5.6600,0.7040,0.9800
77,default,250,0,-1,0,1,-256.7729,-85.0741,-0.0005,0.0000,0.0275,0.0633,0.0000,0.0000,0.2455,0.0000,0.0000,0.7625,2.247379,-0.892484,1.3440,4.2240,5.6880,0.7320,0.9800
78,default,250,0,-1,0,1,-258.1858,-83.6495,-0.0005,0.0000,0.0300,0.0616,0.0000,0.0000,0.2151,0.0000,0.0000,0.7409,2.330409,-0.800109,1.3280,4.4560,5.5520,0.5480,0.9800
79,default,250,0,-1,0,1,-261.2072,-298.3456,-0.0001,0.0000,-0.0096,0.0328,0.0000,0.0000,0.0404,0.0000,0.0000,0.3920,2.033446,-0.811344,1.3320,4.4120,5.5720,0.5800,0.2880
80,default,250,0,0,0,0,-203.8846,-447.8336,0.0000,0.0000,0.0290,0.0310,0.0000,0.0000,0.1585,0.0000,0.0000,0.4290,2.765748,-3.007084,2.0000,1.1720,4.8280,1.8280,0.2040
81,default,250,0,0,0,0,-205.8750,-652.8561,0.0000,0.0000,-0.0120,0.0084,0.0000,0.0000,0.1753,0.0000,0.0000,0.2601,2.510404,-2.786173,2.0000,2.2600,3.7400,0.7400,0.0560
82,default,250,0,0,0,0,-183.6809,-640.0466,0.0001,0.0000,-0.0136,0.0118,0.0000,0.0000,0.1696,0.0000,0.0000,0.2021,2.322143,-2.734655,2.0000,2.4360,3.5640,0.5640,0.0720
83,default,250,0,1,1,0,-143.0914,-332.1943,0.0002,0.0400,-0.0181,0.0151,0.0000,0.0000,0.3634,0.0000,0.0000,0.2601,2.562964,-3.658693,1.1720,4.9680,5.9760,0.5040,0.1560
84,default,250,0,0,0,0,-115.2227,-628.1334,0.0001,0.0000,-0.0021,0.0130,0.0000,0.0000,0.1848,0.0000,0.0000,0.2422,2.103991,-4.765889,2.0000,1.8520,4.1480,1.1480,0.0800
85,default,250,0,0,0,0,-86.5782,-639.3997,0.0001,0.0000,-0.0052,0.0116,0.0000,0.0000,0.1693,0.0000,0.0000,0.3025,1.442826,-4.710288,2.0000,1.4880,4.5120,1.5120,0.0680
86,default,250,0,0,0,0,-87.3278,-435.1891,-0.0002,0.0000,0.0545,0.0301,0.0000,0.0000,0.1667,0.0000,0.0000,0.4411,1.087199,-4.434412,2.0000,0.3880,5.6120,2.6120,0.3160
87,default,250,0,0,0,0,-63.0714,-644.3749,-0.0001,0.0000,-0.0041,0.0089,0.0000,0.0000,0.0186,0.0000,0.0000,0.3373,1.046472,-4.407493,2.0000,1.0200,4.9800,1.9800,0.0600
88,default,250,0,0,0,0,-25.5964,-440.0930,-0.0004,0.0000,0.0570,0.0284,0.0000,0.0000,0.0094,0.0000,0.0000,0.5387,1.001586,-6.596093,2.0000,1.0920,4.9080,1.9080,0.3240
89,default,250,0,0,0,0,-77.9635,-429.4515,-0.0002,0.0000,0.0593,0.0333,0.0000,0.0000,0.1959,0.0000,0.0000,0.5704,1.092919,-8.226156,2.0000,1.4280,4.5720,1.5720,0.3720
90,default,250,0,0,0,0,-7.7813,-631.4160,0.0000,0.0000,-0.0043,0.0132,0.0000,0.0000,0.0129,0.0000,0.0000,0.3506,0.512505,-8.642964,2.0000,1.6840,4.3160,1.3160,0.0760
91,default,250,0,0,0,0,-6.3471,-430.3505,-0.0002,0.0000,0.0614,0.0309,0.0000,0.0000,0.0212,0.0000,0.0000,0.4519,0.629898,-8.935263,2.0000,1.1200,4.8800,1.8800,0.3000
92,default,250,0,0,0,0,-6.7002,-645.9828,0.0001,0.0000,-0.0073,0.0096,0.0000,0.0000,0.0062,0.0000,0.0000,0.3118,0.615366,-8.935934,2.0000,1.2240,4.7760,1.7760,0.0560
93,default,250,0,0,0,0,-11.9308,-427.9234,-0.0001,0.0000,0.0475,0.0338,0.0000,0.0000,0.0064,0.0000,0.0000,0.4533,0.763417,-8.909769,2.0000,0.9480,5.0520,2.0520,0.2400
94,default,250,0,0,0,0,-9.6642,-436.3548,-0.0001,0.0000,0.0537,0.0289,0.0000,0.0000,0.0146,0.0000,0.0000,0.4254,0.660233,-8.800459,2.0000,1.1720,4.8280,1.8280,0.2800
95,default,250,0,0,0,0,-7.0208,-635.3138,0.0001,0.0000,-0.0023,0.0117,0.0000,0.0000,0.0109,0.0000,0.0000,0.3487,0.627017,-8.737608,2.0000,1.7120,4.2880,1.2880,0.0720
