episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
53,default,30,1,2,2,0,79.3320,4.5733,0.0075,0.1000,-0.0498,0.3281,0.0000,0.0000,0.0177,0.0000,0.0000,0.8068,5.005504,-17.035966,1.8000,3.4000,3.4000,0.0000,1.5333
54,default,29,1,2,2,0,79.6098,2.0958,0.0093,0.1034,-0.0256,0.2811,0.0000,0.0000,0.0187,0.0000,0.0000,0.8023,6.957097,-16.963181,1.7241,3.6207,3.6207,0.0000,1.4483
55,default,250,0,1,1,0,15.0501,-516.0081,0.0002,0.0040,-0.0034,0.0259,0.0000,0.0000,0.0287,0.0000,0.0000,0.3031,4.421227,-17.043307,1.0800,5.7480,5.7480,0.0000,0.1400
56,default,28,1,2,2,0,79.9957,-0.4272,0.0119,0.1071,-0.0483,0.2788,0.0000,0.0000,0.0000,0.0000,0.0000,0.7305,4.357517,-17.031105,1.6429,3.8571,3.8571,0.0000,1.3571
57,default,28,1,2,2,0,79.7928,-4.3247,0.0107,0.1071,-0.0859,0.2820,0.0000,0.0000,0.0080,0.0000,0.0000,0.6819,5.502803,-16.959565,1.6786,3.7500,3.7500,0.0000,1.3929
58,default,23,1,2,2,0,79.2921,-5.4731,0.0094,0.1304,-0.1027,0.2482,0.0000,0.0000,0.0035,0.0000,0.0000,0.6617,5.536170,-16.876182,1.7391,3.5217,3.5217,0.0000,1.3913
59,default,26,1,2,2,0,79.9831,0.8947,0.0127,0.1154,-0.0695,0.3218,0.0000,0.0000,0.0000,0.0000,0.0000,0.7626,5.474316,-16.850792,1.8846,3.1154,3.1154,0.0000,1.5769
60,default,250,0,-1,0,1,-69.0097,-425.0167,-0.0019,0.0000,-0.0087,0.0998,0.0000,0.0000,0.0005,0.0000,0.0000,0.4756,5.430529,-16.668706,1.3280,5.0040,5.0040,0.0000,0.4560
61,default,83,0,-1,1,1,-64.5082,62.9682,-0.0076,0.0120,-0.0221,0.3085,0.0000,0.0000,0.0002,0.0000,0.0000,0.7346,5.146775,-16.448900,1.4699,4.5181,4.5181,0.0000,1.3735
62,default,87,0,-1,1,1,-65.5624,55.7386,-0.0106,0.0115,-0.0333,0.2719,0.0000,0.0000,0.0069,0.0000,0.0000,0.7170,6.336988,-16.288906,1.3793,4.7931,4.7931,0.0000,1.2874
